"experiment","Group","senID","item","type","condition","sentence","selection","ID","w1","w2","w3"
"posterior","C","28","PO-C-28","possessor","ziji","张伟说小明把自己的秘密告诉了别人。","Clause Subject","e907-1032-35f0-9c7a","zhangwei.png","xiaoming.png","other.png"
"posterior","C","26","PO-C-26","possessor","ta","李华说小明把他的玩具模型弄坏了。","Speaker","e907-1032-35f0-9c7a","lihua.png","xiaoming.png","other.png"
"posterior","C","2","PO-C-2","co-argument","ta","李华说王刚把他出卖了。","Speaker","e907-1032-35f0-9c7a","lihua.png","wanggang.png","other.png"
"posterior","C","29","PO-C-29","possessor","ta","张伟说王刚把他的衣服捐掉了。","Clause Subject","e907-1032-35f0-9c7a","zhangwei.png","wanggang.png","other.png"
"posterior","C","16","PO-C-16","possessor","ziji","小明说王刚把自己的照片发到了朋友圈。","Clause Subject","e907-1032-35f0-9c7a","xiaoming.png","wanggang.png","other.png"
"posterior","C","10","PO-C-10","co-argument","ziji","王刚说小明把自己逼得太紧了。","Speaker","e907-1032-35f0-9c7a","wanggang.png","xiaoming.png","other.png"
"posterior","C","12","PO-C-12","co-argument","taziji","王刚说张伟把他自己气哭了。","Clause Subject","e907-1032-35f0-9c7a","wanggang.png","zhangwei.png","other.png"
"posterior","C","5","PO-C-5","co-argument","ta","小明说李华把他弄伤了。","Speaker","e907-1032-35f0-9c7a","xiaoming.png","lihua.png","other.png"
"posterior","C","8","PO-C-8","co-argument","ta","小明说李华把他绊倒了。","Speaker","e907-1032-35f0-9c7a","xiaoming.png","lihua.png","other.png"
"posterior","C","4","PO-C-4","co-argument","ziji","李华说张伟把自己当成小孩子了。","Clause Subject","e907-1032-35f0-9c7a","lihua.png","zhangwei.png","other.png"
"posterior","C","6","PO-C-6","co-argument","taziji","小明说张伟把他自己想像成侦探了。","Clause Subject","e907-1032-35f0-9c7a","xiaoming.png","zhangwei.png","other.png"
"posterior","C","18","PO-C-18","possessor","taziji","小明说张伟把他自己的想法忘记了。","Clause Subject","e907-1032-35f0-9c7a","xiaoming.png","zhangwei.png","other.png"
"posterior","A","1","PO-A-1","co-argument","ta","李华说小明把他弄糊涂了。","Speaker","e7e8-373d-c514-4a8d","lihua.png","xiaoming.png","other.png"
"posterior","A","9","PO-A-9","co-argument","ziji","王刚说小明把自己锁在教室里了。","Clause Subject","e7e8-373d-c514-4a8d","wanggang.png","xiaoming.png","other.png"
"posterior","A","17","PO-A-17","possessor","taziji","小明说李华把他自己的演讲稿修改好了。","Clause Subject","e7e8-373d-c514-4a8d","xiaoming.png","lihua.png","other.png"
"posterior","A","26","PO-A-26","possessor","taziji","李华说小明把他自己的玩具模型弄坏了。","Clause Subject","e7e8-373d-c514-4a8d","lihua.png","xiaoming.png","other.png"
"posterior","A","29","PO-A-29","possessor","taziji","张伟说王刚把他自己的衣服捐掉了。","Clause Subject","e7e8-373d-c514-4a8d","zhangwei.png","wanggang.png","other.png"
"posterior","A","11","PO-A-11","co-argument","taziji","王刚说张伟把他自己置于危险中了。","Clause Subject","e7e8-373d-c514-4a8d","wanggang.png","zhangwei.png","other.png"
"posterior","A","3","PO-A-3","co-argument","ziji","李华说王刚把自己照顾得很好。","Clause Subject","e7e8-373d-c514-4a8d","lihua.png","wanggang.png","other.png"
"posterior","A","2","PO-A-2","co-argument","taziji","李华说王刚把他自己出卖了。","Clause Subject","e7e8-373d-c514-4a8d","lihua.png","wanggang.png","other.png"
"posterior","A","27","PO-A-27","possessor","ziji","李华说小明把自己的房间打扫干净了。","Clause Subject","e7e8-373d-c514-4a8d","lihua.png","xiaoming.png","other.png"
"posterior","A","22","PO-A-22","possessor","ta","王刚说小明把他的想法表达出来了。","Clause Subject","e7e8-373d-c514-4a8d","wanggang.png","xiaoming.png","other.png"
"posterior","A","20","PO-A-20","possessor","taziji","王刚说李华把他自己的遭遇讲给了别人听。","Clause Subject","e7e8-373d-c514-4a8d","wanggang.png","lihua.png","other.png"
"posterior","A","4","PO-A-4","co-argument","ta","李华说张伟把他当成小孩子了。","Speaker","e7e8-373d-c514-4a8d","lihua.png","zhangwei.png","other.png"
"posterior","A","21","PO-A-21","possessor","ziji","王刚说张伟把自己的工作做完了。","Clause Subject","e7e8-373d-c514-4a8d","wanggang.png","zhangwei.png","other.png"
"posterior","A","30","PO-A-30","possessor","ziji","张伟说李华把自己的文件删除了。","Clause Subject","e7e8-373d-c514-4a8d","zhangwei.png","lihua.png","other.png"
"posterior","A","12","PO-A-12","co-argument","ziji","王刚说张伟把自己气哭了。","Clause Subject","e7e8-373d-c514-4a8d","wanggang.png","zhangwei.png","other.png"
